,Place,Lat,Lng
0,Lacey,47.0494738,-122.8586102
1,Tumwater,46.9871682,-122.9572874
2,Aberdeen,57.1499749,-2.195067
3,Adna,46.637264,-123.0724008
4,Allyn,47.3845826,-122.8467292
5,Amanda Park,47.4540512,-123.9534119
6,Bay Center,30.4164048,-87.2110936
7,Belfair,47.4508657,-122.8792427
8,Bucoda,46.7974898,-122.8778693
9,Centralia,40.8037761,-76.3477207
10,Chehalis,46.6641735,-122.9985754
11,Cinebar,46.6042865,-122.5405356
12,Copalis Beach,47.1260745,-124.2072538
13,Copalis Crossing,47.11285,-124.0882116
14,Cosmopolis,29.8174782,-95.6814782
15,Doty,31.1053341,-104.5689749
16,East Olympia,46.967611,-122.8444454
17,Grapeview,47.3624349,-122.9085751
18,Grayland,46.8280158,-124.1249209
19,Hoodsport,47.4019746,-123.171802
20,Hoquiam,46.9867507,-123.9366724
21,Humptulips,47.2552356,-124.0030267
22,Lebam,46.5649696,-123.5652596
23,Lilliwaup,47.4634393,-123.1230778
24,Littlerock,34.7242069,-92.4780116
25,Mccleary,47.0576143,-123.2919511
26,Moclips,47.2333533,-124.2165565
27,Montesano,47.0033572,-123.6257968
28,Mossyrock,46.5305232,-122.4879239
29,Napavine,46.5889796,-122.9193056
30,Neilton,29.7834816,-95.5368517
31,Oakville,43.4481102,-79.7644647
32,Onalaska,43.8928485,-91.2346574
33,Pe Ell,46.5717444,-123.3061763
34,Quinault,47.4670448,-123.85421
35,Rainier,46.8523213,-121.7690777
36,Rochester,43.1862853,-77.6864387
37,Ryderwood,46.3765106,-123.0524874
38,Salkum,46.5314948,-122.636362
39,Satsop,47.0257916,-123.5083389
40,South Bend,41.6748274,-86.3459243
41,Taholah,47.3374133,-124.2916797
42,Tahuya,47.3721129,-123.0616647
43,Tenino,46.8545294,-122.86421
44,Tokeland,46.7090214,-123.9913633
45,Toledo,41.656662,-83.6442959
46,Winlock,46.4936552,-122.9523961
47,Yelm,46.9427473,-122.6600185
48,Appleton,44.287727,-88.4671086
49,Battle Ground,45.7761236,-122.5750987
50,Bingen,49.9465131,7.8640426
51,Brush Prairie,45.7320866,-122.5928719
52,Camas,45.6100773,-122.4557571
53,Cathlamet,46.2095059,-123.4011865
54,Centerville,39.6321522,-84.1937994
55,Chinook,29.7908372,-95.3755947
56,Dallesport,45.6410856,-121.2062074
57,Goldendale,45.8218295,-120.8381641
58,Grays River,46.3562315,-123.6180654
59,Heisson,45.824851,-122.4999635
60,Husum,54.4897981,9.0102542
61,Ilwaco,46.3090229,-124.0668524
62,Kalama,46.0025959,-122.8497401
63,Kelso,46.124687,-122.9246113
64,Klickitat,45.8215944,-121.1988409
65,La Center,45.8593113,-122.6934271
66,Long Beach,33.8003309,-118.2261495
67,Longview,32.5067019,-94.8253525
68,Naselle,46.3611442,-123.813487
69,North Bonneville,45.6421487,-121.9931164
70,Oysterville,29.7074688,-95.4183041
71,Ridgefield,41.3074822,-73.5647538
72,Rosburg,46.330954,-123.647231
73,Seaview,46.3345583,-124.0633551
74,Skamokawa,46.2972777,-123.4964386
75,Toutle,46.3132556,-122.7479003
76,Vancouver,49.2578263,-123.1939436
77,Wahkiacus,45.8256921,-121.1071591
78,Washougal,45.5809215,-122.3810928
79,White Salmon,45.7283097,-121.5048892
80,Wishram,45.6597771,-120.9826336
81,Yacolt,45.8653556,-122.4134465
82,Wenatchee,47.4282527,-120.3657813
83,East Wenatchee,47.4183322,-120.29999
84,Bridgeport,41.1848053,-73.2340258
85,Cashmere,29.7074688,-95.4183041
86,Chelan,47.8444174,-120.0788191
87,Chelan Falls,47.7989705,-119.9976068
88,Conconully,48.5587274,-119.7566533
89,Entiat,47.6834836,-120.2369715
90,Ephrata,40.1817134,-76.1958149
91,Leavenworth,47.5895456,-120.6779921
